tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,2003-08-20,Friendly,played,Croatia,HRV,HRV,UEFA,England,ENG,ENG,UEFA,FALSE,1,3,loss,Ipswich,England,FALSE,1831,1958,1825,1964,-6
,,,2003-09-06,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Andorra,,,,FALSE,3,0,win,Sant Julià de Lòria,Andorra,FALSE,1825,1054,1826,1053,1
,,,2003-09-10,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Belgium,BEL,BEL,UEFA,FALSE,1,2,loss,Brussels,Belgium,FALSE,1826,1782,1809,1799,-17
,,,2003-10-11,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Bulgaria,BGR,BGR,UEFA,TRUE,1,0,win,Zagreb,Croatia,FALSE,1809,1764,1821,1752,12
,,,2003-11-15,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,TRUE,1,1,draw,Zagreb,Croatia,FALSE,1821,1672,1809,1684,-12
,,,2003-11-19,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,FALSE,1,0,win,Ljubljana,Slovenia,FALSE,1809,1684,1828,1665,19
,,,2004-02-18,Friendly,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,TRUE,1,2,loss,Split,Croatia,FALSE,1828,1879,1817,1890,-11
,,,2004-03-31,Friendly,played,Croatia,HRV,HRV,UEFA,Turkey,TUR,TUR,UEFA,TRUE,2,2,draw,Zagreb,Croatia,FALSE,1817,1829,1815,1831,-2
,,,2004-04-28,Friendly,played,Croatia,HRV,HRV,UEFA,North Macedonia,,,,FALSE,1,0,win,Skopje,North Macedonia,FALSE,1815,1501,1820,1496,5
,,,2004-05-29,Friendly,played,Croatia,HRV,HRV,UEFA,Slovakia,SVK,SVK,UEFA,TRUE,1,0,win,Rijeka,Croatia,FALSE,1820,1668,1824,1664,4
,,,2004-06-05,Friendly,played,Croatia,HRV,HRV,UEFA,Denmark,DNK,DNK,UEFA,FALSE,2,1,win,Copenhagen,Denmark,FALSE,1824,1884,1838,1870,14
